Sentiment,User,Post Content
Neutral,TruthCape,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,DrMartyFox,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,vadaboy12,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,Lucy115438221,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,77Letsgofishing,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,Jeannin90691537,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,VoteTrumpPics,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,Rightinmanyways,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,BettyBoopDooper,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,SilasHodgson,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,LoriKay123,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,IR0N_PATRIOT,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,baalter,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,AnnieCompin,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,WeThePe90241763,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,brkay31,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,DawnGoodwell,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,HarleyR30309880,"RT @Janjch23: Time to not only stand up against this election, stand up against shutdowns, mask wearing, social distancing and the vaccine…"
Neutral,collignon_joyce,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,boxersforlife,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,Can2geterdone,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,VSchloredt,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,TommyO750,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,DGPurser,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,AU_bebe,"RT @SandraSentinel: For those who support shutdowns....

How many children should starve 

How many families should go bankrupt 

How many…"
Neutral,Growbi10,"RT @ouMAGAgirl: THIS IS WHY THE DEMOCRATS WANT TO SHUT AMERICA DOWN AND WHY THEY WANT OUR POLICE AND ICE SHUTDOWN‼️ 

I lived in China for…"
Neutral,cherrybaysb,"RT @ouMAGAgirl: THIS IS WHY THE DEMOCRATS WANT TO SHUT AMERICA DOWN AND WHY THEY WANT OUR POLICE AND ICE SHUTDOWN‼️ 

I lived in China for…"
Neutral,irishgalartist,"RT @ouMAGAgirl: THIS IS WHY THE DEMOCRATS WANT TO SHUT AMERICA DOWN AND WHY THEY WANT OUR POLICE AND ICE SHUTDOWN‼️ 

I lived in China for…"
Neutral,WideAwa26871633,"RT @ouMAGAgirl: THIS IS WHY THE DEMOCRATS WANT TO SHUT AMERICA DOWN AND WHY THEY WANT OUR POLICE AND ICE SHUTDOWN‼️ 

I lived in China for…"
Neutral,texasgirlnyc,"RT @ouMAGAgirl: THIS IS WHY THE DEMOCRATS WANT TO SHUT AMERICA DOWN AND WHY THEY WANT OUR POLICE AND ICE SHUTDOWN‼️ 

I lived in China for…"
